"","Index","Movie_names","Year","Advisory_rating","runtime","genre","Ratings","Description","Director","Cast","User_votes"
"5620",11990,"The Riot Act",2018,"PG-13",101,"Thriller",4.4,"This period film from Director Devon Parks weaves an intersecting web of characters, all having witnessed a murder from three different vantage points. The dark past of this turn of the ...                 »","Devon Parks","Lauren Sweetser",210
"5621",11991,"A Monster with a Thousand Heads",2015,"Unrated",74,"Drama",6.5,"When her insurance company refuses to approve the care her husband needs to survive, Sonia Bonet (Jan Raluy) takes things into her own hands. Up against an unyielding bureaucracy and ...                 »","Rodrigo Plá","Jana Raluy",933
"5622",11996,"Thousand Yard Stare",2018,"TV-MA",91,"War",3.8,"Returning home after fighting in Africa during World War II, a soldier with PTSD finds reintegrating with family life increasingly difficult as he relives the battle of Kasserine Pass.","Aaron Kurmey","Adam Munro",198
"5623",11999,"Viswasam",2019,"Not Rated",153,"Action",6.7,"A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.","Siva","Ajith Kumar",6051
"5624",12000,"Samsam",2019,"Not Rated",77,"Animation",5.6,"SamSam appears to have it all: his own flying saucer and great family and friends. But the one thing he has yet to attain are actual superpowers.","Tanguy de Kermel","Isaac Lobé-Lebel",94
"5625",12009,"The Night of the Virgin",2016,"Not Rated",116,"Comedy",5.3,"In this horror-comedy, at a New Year's Eve party, Nico, a naive twenty year old, sets out ready to lose his virginity at all costs that same night. In the middle of the party, his gaze crosses Medea, a cunning and attractive mature woman.","Roberto San Sebastián","Javier Bódalo",474
"5626",12016,"Blackmark",2018,"Not Rated",94,"Action",4.5,"In 1963, military industrialist Arthur Blackmark and a Soviet commander must race against the clock to stop an international nuclear incident which threatens to fire up the Cold War and end the world.","A.J. Martinson","Kaiwi Lyman",237
"5627",12027,"VHS Nasty",2019,"Not Rated",95,"Fantasy",4.6,"VHS Nasty is part 3 in the infamous cult VHS doc series ""VHS Lives"". In the early 80's, VCR players were in every house, but a legendary cult following developed during the VHS era like no ...                 »","Tony Newton","Mathew Fisher",82
"5628",12034,"King Liar",2016,"M",157,"Comedy",5.3,"After falling in love with an aspiring fashion model, a conman attempts to get her work with India's top fashion design company.","Lal","Jean Paul Lal",687
"5629",12038,"Alpha Delta Zatan",2017,"Unrated",72,"Horror",3.6,"In a frat house where no one can be trusted, a new brother becomes the target of a masked killer.","Art Arutyunyan","Jeremy Winter",44
"5630",12041,"Black Road",2016,"Not Rated",80,"Sci",4,"In 2029 an ex-military drifter risks his life to protect a woman from her dangerous ex in the lawless State of Jefferson. He's aided by his A.I. implant Clyde who proves partner and friend.","Gary Lundgren","Andrew Wilson",523
"5631",12042,"Trace",2015,"TV-MA",90,"Horror",3.5,"A group of friends experimenting with EVP (Electronic Voice Phenomenon) accidentally open a doorway allowing a powerful demon to enter our world.","Ryan Brookhart","Jeremiah Benjamin",420
